x,y
0,0.12
1,2.34
2,3.89
3,6.21
4,7.98
5,10.23
6,12.45
7,13.67
8,16.12
9,18.34
10,20.56
11,22.78
12,24.91
13,26.45
14,28.67
15,30.89
16,32.45
17,34.67
18,36.89
19,38.45
20,40.78
21,42.91
22,44.56
23,46.78
24,48.91
25,51.23
26,53.45
27,55.67
28,57.89
29,59.34
30,61.56
31,63.78
32,65.91
33,68.23
34,70.45
35,72.67
36,74.89
37,76.34
38,78.56
39,80.78
40,82.91
41,85.23
42,87.45
43,89.67
44,91.89
45,93.34
46,95.56
47,97.78
48,99.91
49,102.23
50,104.45
51,106.67
52,108.89
53,110.34
54,112.56
55,114.78
56,116.91
57,119.23
58,121.45
59,123.67
60,125.89
61,127.34
62,129.56
63,131.78
64,133.91
65,136.23
66,138.45
67,140.67
68,142.89
69,144.34
70,146.56
71,148.78
72,150.91
73,153.23
74,155.45
75,157.67
76,159.89
77,161.34
78,163.56
79,165.78
80,167.91
81,170.23
82,172.45
83,174.67
84,176.89
85,178.34
86,180.56
87,182.78
88,184.91
89,187.23
90,189.45
91,191.67
92,193.89
93,195.34
94,197.56
95,199.78
96,201.91
97,204.23
98,206.45
99,208.67
100,210.89
101,212.34
102,214.56
103,216.78
104,218.91
105,221.23
106,223.45
107,225.67
108,227.89
109,229.34
110,231.56
111,233.78
112,235.91
113,238.23
114,240.45
115,242.67
116,244.89
117,246.34
118,248.56
119,250.78
120,252.91
121,255.23
122,257.45
123,259.67
124,261.89
125,263.34
126,265.56
127,267.78
128,269.91
129,272.23
130,274.45
131,276.67
132,278.89
133,280.34
134,282.56
135,284.78
136,286.91
137,289.23
138,291.45
139,293.67
140,295.89
141,297.34
142,299.56
143,301.78
144,303.91
145,306.23
146,308.45
147,310.67
148,312.89
149,314.34
150,316.56
151,318.78
152,320.91
153,323.23
154,325.45
155,327.67
156,329.89
157,331.34
158,333.56
159,335.78
160,337.91
161,340.23
162,342.45
163,344.67
164,346.89
165,348.34
166,350.56
167,352.78
168,354.91
169,357.23
170,359.45
171,361.67
172,363.89
173,365.34
174,367.56
175,369.78
176,371.91
177,374.23
178,376.45
179,378.67
180,380.89
181,382.34
182,384.56
183,386.78
184,388.91
185,391.23
186,393.45
187,395.67
188,397.89
189,399.34
190,401.56
191,403.78
192,405.91
193,408.23
194,410.45
195,412.67
196,414.89
197,416.34
198,418.56
199,420.78
200,422.91
201,425.23
202,427.45
203,429.67
204,431.89
205,433.34
206,435.56
207,437.78
208,439.91
209,442.23
210,444.45 
